iter	Logloss
0	0.6871211529
1	0.6804602146
2	0.6729887962
3	0.6660288811
4	0.6588644505
5	0.6507971287
6	0.643650198
7	0.6382461071
8	0.6318481922
9	0.6251925468
10	0.6182326317
11	0.6113888741
12	0.6051352978
13	0.5994334221
14	0.5940958977
15	0.5887937546
16	0.5827484131
17	0.5775879383
18	0.5724520683
19	0.5681020737
20	0.5627859592
21	0.5589461803
22	0.5543312073
23	0.5489562035
24	0.5439359665
25	0.5390224457
26	0.5342758179
27	0.5299386978
28	0.5251834869
29	0.5201122761
30	0.5160620689
31	0.5123118877
32	0.5084156036
33	0.5053098679
34	0.5018716812
35	0.4991752148
36	0.4954122066
37	0.4911949635
38	0.4873743057
39	0.4832165718
40	0.4807645798
41	0.4772248268
42	0.4734745502
43	0.470624733
44	0.4671285152
45	0.4640096664
46	0.4616808414
47	0.4586483002
48	0.4552875519
49	0.4521085739
50	0.4492263794
51	0.4462859154
52	0.4435161591
53	0.440972805
54	0.437954092
55	0.435591507
56	0.4331508636
57	0.4302858353
58	0.4287525177
59	0.4259693146
60	0.423530674
61	0.4214456081
62	0.4194320202
63	0.4168663025
64	0.4145694733
65	0.4125105858
66	0.4103180885
67	0.4082567215
68	0.4060750008
69	0.4042574406
70	0.4020659924
71	0.4001625061
72	0.3983475208
73	0.3969554901
74	0.3950187922
75	0.3928871155
76	0.3913252115
77	0.3894605875
78	0.3876493454
79	0.3861068487
80	0.3847195387
81	0.3828086376
82	0.3811635494
83	0.3795827866
84	0.3782432556
85	0.3767305851
86	0.3755810738
87	0.3739912033
88	0.3730364084
89	0.3714016199
90	0.3707423449
91	0.369286871
92	0.3683996916
93	0.3670240879
94	0.3660051107
95	0.3646000385
96	0.3635044336
97	0.3621255398
98	0.3607153893
99	0.3591307402
100	0.3580875397
101	0.3569019318
102	0.3554947376
103	0.3544144869
104	0.3534617901
105	0.3522578478
106	0.351411438
107	0.3503314257
108	0.3494094372
109	0.3491145849
110	0.3481108665
111	0.3472074032
112	0.3460599422
113	0.3455953121
114	0.3448159695
115	0.3438851595
116	0.3428744793
117	0.3422930956
118	0.341213274
119	0.3403615713
120	0.3394181967
121	0.3383902073
122	0.3372166872
123	0.3363475561
124	0.3354000568
125	0.3347947121
126	0.3340210676
127	0.3330518246
128	0.3321960688
129	0.3311648607
130	0.3304335117
131	0.329689002
132	0.3285438776
133	0.3278057575
134	0.3266920567
135	0.32585392
136	0.3254729271
137	0.3245280743
138	0.3237175465
139	0.3229761124
140	0.3220290661
141	0.3215254545
142	0.320694828
143	0.3201851845
144	0.3195613384
145	0.3189925432
146	0.3180063963
147	0.3174262047
148	0.3169392347
149	0.3161525726
150	0.3156716347
151	0.3151906013
152	0.3144879103
153	0.3134442806
154	0.3125259399
155	0.3118407249
156	0.3113300323
157	0.3105498314
158	0.3099215031
159	0.3090082645
160	0.3083063841
161	0.3079144955
162	0.3072591782
163	0.30648489
164	0.3057538986
165	0.3053364754
166	0.3047454834
167	0.3039781809
168	0.30349648
169	0.3030461311
170	0.3025695562
171	0.3020932436
172	0.3015809059
173	0.3010418415
174	0.3004956722
175	0.2999834061
176	0.2994520426
177	0.2989202499
178	0.2984593153
179	0.2979937315
180	0.2972903728
181	0.2971626759
182	0.2967253208
183	0.2963228464
184	0.2958096266
185	0.2953454971
186	0.2947000027
187	0.2942492008
188	0.2939577818
189	0.2935510397
190	0.2929374933
191	0.2923822641
192	0.2919125319
193	0.2915647984
194	0.2911110401
195	0.2904412985
196	0.2900492668
197	0.2896348238
198	0.2888717651
199	0.2885580063
200	0.2880540133
201	0.2876958609
202	0.2871042013
203	0.2863900661
204	0.2860843658
205	0.2853340626
206	0.2850327492
207	0.2845895529
208	0.284330225
209	0.2838049412
210	0.2833711147
211	0.283000493
212	0.282707262
213	0.2823431492
214	0.2817304611
215	0.2813548565
216	0.2809425354
217	0.2805336475
218	0.280251646
219	0.2798912525
220	0.2794142246
221	0.2790505886
222	0.2789270401
223	0.2785324574
224	0.278123045
225	0.2777216196
226	0.2772166252
227	0.2769883633
228	0.2767151594
229	0.2764008999
230	0.2761418819
231	0.2758333683
232	0.2754551649
233	0.2752131939
234	0.2748511314
235	0.2746165752
236	0.2741137981
237	0.2737681389
238	0.2733676434
239	0.2730477333
240	0.2726300001
241	0.272249198
242	0.2718822479
243	0.2715847015
244	0.2711168051
245	0.2707663774
246	0.2703939915
247	0.2702055931
248	0.2697602034
249	0.269502306
250	0.2692071199
251	0.2688522816
252	0.2685470343
253	0.2682686806
254	0.2680695772
255	0.2677878618
256	0.2675057411
257	0.2672908783
258	0.2668311119
259	0.266588068
260	0.2662515163
261	0.2660321951
262	0.2657839775
263	0.265383482
264	0.2650849104
265	0.264824605
266	0.2647215128
267	0.2645374775
268	0.2643123627
269	0.2638884544
270	0.2636983395
271	0.2634959698
272	0.2632805824
273	0.2629576206
274	0.2626362324
275	0.2623203039
276	0.2620100975
277	0.2617283821
278	0.2615488052
279	0.2612790823
280	0.2610723495
281	0.2608681679
282	0.2605797291
283	0.2602728605
